school,address1,city,state,zipcode,rank,Id,PageUrl
Princeton University,,Princeton,NJ,08544, 2                                                                ,1,http://colleges.usnews.rankingsandreviews.com/best-colleges/princeton-university-2627
Dartmouth College,6016 McNutt Hall,Hanover,NH,03755, 10                                                                ,11,http://colleges.usnews.rankingsandreviews.com/best-colleges/dartmouth-college-2573
Emory University,201 Dowman Drive,Atlanta,GA,30322, 20                                                                ,21,http://colleges.usnews.rankingsandreviews.com/best-colleges/emory-university-1564
Harvard University,"Undergraduate Admissions Office, 86 Brattle Street",Cambridge,MA,02138, 1                                                                ,2,http://colleges.usnews.rankingsandreviews.com/best-colleges/harvard-university-2155
Johns Hopkins University,3400 N. Charles Street,Baltimore,MD,21218, 11                                                                ,12,http://colleges.usnews.rankingsandreviews.com/best-colleges/jhu-2077
Georgetown University,37th and O Streets NW,Washington,DC,20057, 21                                  ,22,http://colleges.usnews.rankingsandreviews.com/best-colleges/georgetown-university-1445
Yale University,,New Haven,CT,06520, 2                                                                ,3,http://colleges.usnews.rankingsandreviews.com/best-colleges/yale-university-1426
Northwestern University,633 Clark Street,Evanston,IL,60208, 12                                                                ,13,http://colleges.usnews.rankingsandreviews.com/best-colleges/northwestern-1739
University of California--Los Angeles,405 Hilgard Avenue,Los Angeles,CA,90095, 21                                                                ,23,http://colleges.usnews.rankingsandreviews.com/best-colleges/ucla-1315
Columbia University,2960 Broadway,New York,NY,10027, 3                                                                ,4,http://colleges.usnews.rankingsandreviews.com/best-colleges/columbia-university-2707
Washington University in St. Louis,"Campus Box 1089, 1 Brookings Drive",St. Louis,MO,63130-4899, 13                                                                ,14,http://colleges.usnews.rankingsandreviews.com/best-colleges/washington-university-st-louis-2520
University of Virginia,,Charlottesville,VA,22904, 23                                  ,24,http://colleges.usnews.rankingsandreviews.com/best-colleges/uva-6968
Stanford University,,Stanford,CA,94305, 4                                  ,5,http://colleges.usnews.rankingsandreviews.com/best-colleges/stanford-1305
Cornell University,,Ithaca,NY,14853, 14                                                                ,15,http://colleges.usnews.rankingsandreviews.com/best-colleges/cornell-university-2711
Carnegie Mellon University,5000 Forbes Avenue,Pittsburgh,PA,15213, 23                                                                ,25,http://colleges.usnews.rankingsandreviews.com/best-colleges/carnegie-mellon-university-3242
University of Chicago,5801 S. Ellis Avenue,Chicago,IL,60637, 4                                  ,6,http://colleges.usnews.rankingsandreviews.com/best-colleges/university-of-chicago-1774
Brown University,Box 1920,Providence,RI,02912, 15                                                                ,16,http://colleges.usnews.rankingsandreviews.com/best-colleges/brown-university-3401
University of Southern California,University Park,Los Angeles,CA,90089, 25                                  ,26,http://colleges.usnews.rankingsandreviews.com/best-colleges/usc-1328
Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,02139, 4                                                                ,7,http://colleges.usnews.rankingsandreviews.com/best-colleges/mit-2178
University of Notre Dame,,Notre Dame,IN,46556, 16                                  ,17,http://colleges.usnews.rankingsandreviews.com/best-colleges/notre-dame-1840
Tufts University,,Medford,MA,02155, 25                                                                ,27,http://colleges.usnews.rankingsandreviews.com/best-colleges/tufts-university-2219
Duke University,"2138 Campus Drive, Box 90586",Durham,NC,27708, 7                                                                ,8,http://colleges.usnews.rankingsandreviews.com/best-colleges/duke-university-2920
